listing_url,full_listing_name,pokemon_name,grader,grade,current_price,fmv,card_set,card_number,condition,seller
https://www.phygitals.com/card/2005-pokemon-ex-delta-species-re-q5imzd,2005 Pokemon EX Delta Species Reverse Holo Metal Energy #107 CGC 8.5 NM-MT+,EX Delta Species Reverse Holo Metal,CGC,8.5,$10.75,$9.99,,107,,
https://www.phygitals.com/card/2022-pokemon-sword-shield-poke-wi7hbx,2022 Pokemon Sword & Shield Pokemon GO Holo Gyarados #22 CGC 9 MINT,Sword & Shield Pokemon GO Holo,CGC,9,$10.18,$9.72,,22,,
https://www.phygitals.com/card/31GugKN4qHVAX7fPK7pwR6AZj9Y9xEBZxSZDDz3wK9MX,2025 Pokemon SV Prismatic Evolutions Reverse Holo Cottonee #7 PSA 9 MINT,SV Prismatic Evolutions Reverse Holo Cottonee,PSA,9,$10.23,$10.26,,7,,
https://www.phygitals.com/card/2qzHkFN4aZUeXyw5R462XTuD174E5V88fH16dTMLj51w,2021 POKEMON SWORD & SHIELD FUSION STRIKE #107 TOXTRICITY-HOLO PSA 8.5,SWORD & SHIELD FUSION STRIKE #107,PSA,8.5,$10.11,$11.88,,107,,
https://www.phygitals.com/card/7kWXW5gKxQi6hB2pYnuv5mGvv6iagYVY3fU71BQk4pMB,2024 Pokemon Mew En-151 5 Pack Mini Tin Bulbasaur #001 PSA 9 MINT,Mew En-151 5 Pack Mini Tin,PSA,9,$11.82,$11.77,,001,,
https://www.phygitals.com/card/2022-pokemon-japanese-swsh-go-ho-m86ob2,2022 Pokemon Japanese SWSH GO Holo Mewtwo V #30 CGC 9 MINT,Japanese SWSH GO Holo Mewtwo V,CGC,9,$11.93,$11.88,,30,,
https://www.phygitals.com/card/7oiACUrAAVa4VhtkbgTep1rPVgENh45ofh4WyWsuZV1K,1996 Pokemon Japanese Base Set Pidgey #16 CGC 9 MINT,Japanese Base Set Pidgey #16 CGC,CGC,9,$11.02,$10.26,,16,,
https://www.phygitals.com/card/5y2Xc41fnHd7ZTvyq8u5G3rhcMjuqQ3WZviKNoFxNam,1986 Fleer Basketball Dan Schayes #98 PSA 6 EXMT,Basketball Dan Schayes #98 PSA 6,PSA,6,$10.59,$11.88,,98,,
https://www.phygitals.com/card/1997-pokemon-japanese-rocket-gan-ww2kyz,1997 Pokemon Japanese Rocket Gang Meowth #52 CGC 9 MINT,Japanese Rocket Gang Meowth #52 CGC,CGC,9,$12.29,$11.88,,52,,
https://www.phygitals.com/card/2021-pokemon-japanese-sword-sh-k3r7w6,2021 Pokemon Japanese Sword & Shield Eevee Heroes Jolteon V #30 CGC 9 MINT,Japanese Sword & Shield Eevee Heroes,CGC,9,$7.57,$9.61,,30,,
https://www.phygitals.com/card/DoyNZrUbeicYBMPqgrxKYTHzJnhtCMwJUMREnmRTc7V3,2021 Pokemon Japanese Sword & Shield Fusion Arts Mew V #39 CGC 9 MINT,Japanese Sword & Shield Fusion Arts,CGC,9,$10.80,$11.88,,39,,
https://www.phygitals.com/card/DpMUK3sL2JCwpXsoepc6cNycf8cufNzAwomGrAnpCaK3,2020 Pokemon Japanese SWSH Shiny Star V Holo Shiny Rolycoly #266 CGC 10 GEM MINT,Japanese SWSH Shiny Star V Holo,CGC,10,$12.10,$11.88,,266,,
https://www.phygitals.com/card/2025-pokemon-japanese-sv-battle-10duhv,2025 Pokemon Japanese SV Battle Partners Full Art Iono's Bellibolt ex CGC 8.5,Japanese SV Battle Partners Full Art,CGC,8.5,$11.29,$0.192025,,,,
